Designator,Footprint,Quantity,Value,LCSC Part #
BT1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,"Terminal Block, 2-pin, 5.08mm pitch",C709041
"C1, C4",CP_Radial_D5.0mm_P2.50mm,2,10uF,C2029
C2,805,1,10nF,C1710
C3,805,1,0.1uF,C126469
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10",LED_D5.0mm,10,WHITE LED 5mm,C74067
"D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21",LED_D5.0mm,11,RED LED 5mm,C87271
Q1,TO-92L_HandSolder,1,PN2222A,C118536
Q2,SOT-23,1,AO3400A,C20917
Q3,TO-92_HandSolder,1,PN2222A,C118536
"R1, R26",805,2,10K,C17414
"R3, R4, R5, R6, R7, R8, R9, R10, R11, R12",805,10,330,C17630
"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23",1206,11,270,C17887
R2,805,1,70K,C17801
R24,805,1,360,C17630
R25,805,1,100,C17408
R27,805,1,2.2K,C17520
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPST,C221829
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_THTPad_D1.5mm_Drill0.7mm,6,TestPoint_Probe,
U1,DIP-8_W7.62mm,1,"IC Socket, DIP-8",C305904
U1IC,DIP-8_W7.62mm,0,NE555P DNP,
